
"Banco de México"

"Subastas y colocación de valores"
"Valores Gubernamentales"

"Fecha de consulta: 22/03/2025 01:13:01"

""

"Título","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Cetes a 28 días","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 28 días","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 28 días","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Cetes a 91 días","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 91 días","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 91 días","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Cetes a 182 días","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 182 días","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 182 días","Valores gubernamentales Resultados de la subasta semanal, Plazo en días Cetes a 364 días","Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 364 días","Valores gubernamentales Resultados de la subasta semanal, Tasa de rendimiento Cetes a 364 días","Valores gubernamentales Resultados de la subasta semanal , Plazo en días Cetes a 728 días","Valores gubernamentales Resultados de la subasta semanal , Monto asignado Cetes a 728 días","Valores gubernamentales Resultados de la subasta semanal , Tasa de rendimiento Cetes a 728 días"
"Periodo disponible","02/09/1982 - 20/03/2025","04/01/1996 - 20/03/2025","02/09/1982 - 20/03/2025","19/01/1978 - 20/03/2025","24/04/1997 - 20/03/2025","19/01/1978 - 20/03/2025","13/09/1984 - 20/03/2025","24/04/1997 - 20/03/2025","13/09/1984 - 20/03/2025","15/11/1990 - 20/03/2025","24/04/1997 - 20/03/2025","15/11/1990 - 20/03/2025","13/10/2022 - 13/03/2025","13/10/2022 - 13/03/2025","13/10/2022 - 13/03/2025"
"Periodicidad","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria"
"Cifra","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Sin tipo de Cifra","Sin tipo de Cifra","Porcentajes","Días por vencer","Saldos","Porcentajes"
"Unidad","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes","Días","Millones de Pesos","Porcentajes"
"Base","","","","","","","","","","","","","","",""
"Aviso","","","","","","","","","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF43935","SF43937","SF43936","SF43938","SF43940","SF43939","SF43941","SF43943","SF43942","SF43944","SF43946","SF43945","SF349778","SF349780","SF349785"
19/01/1978,N/E,N/E,N/E,91,N/E,10.10,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
02/02/1978,N/E,N/E,N/E,91,N/E,9.88,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
16/02/1978,N/E,N/E,N/E,91,N/E,9.82,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
02/03/1978,N/E,N/E,N/E,91,N/E,9.75,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
16/03/1978,N/E,N/E,N/E,91,N/E,9.62,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
06/04/1978,N/E,N/E,N/E,91,N/E,9.63,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
20/04/1978,N/E,N/E,N/E,91,N/E,9.65,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
04/05/1978,N/E,N/E,N/E,91,N/E,9.58,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
18/05/1978,N/E,N/E,N/E,91,N/E,9.59,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
01/06/1978,N/E,N/E,N/E,91,N/E,9.71,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
15/06/1978,N/E,N/E,N/E,91,N/E,9.89,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
06/07/1978,N/E,N/E,N/E,91,N/E,10.09,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
